Country,Population,Population_Growth,GDP_PerCapita,PrimaryEnrollment_ratio,LifeExpectancy_fem,Fertility,Parliament_fem,EarnedIncome_fem,EarnedIncome,HumanDevelopmentIndex,GenderEmpowermentMeasure,GenderDevelopmentIndex,LaborParticipation
Senegal,12072479,2.534559,499.405,98.28952,64.821999,5.1885715,19.200001,1134,2051,0.50199997,0.33462,0.493,33.93999863
Serbia and Montenegro,7411569,-0.3932046,1648.7053,99.66169,75.879997,1.4299999,12,6752,12133,0.82099998,0.58399999,0.81800002,40
Sierra Leone,5742694,2.7592828,225.59988,90,43.869999,6.4768,14.5,396,872,0.329,0.117789,0.31099999,35
Singapore,4401400,3.1292937,28033.176,99,82.599998,1.28,21.200001,20775,40000,0.91799998,0.78200001,0.89899999,54.25
Slovak Republic,5391409,0.081811711,5197.2173,98.164253,78.199997,1.24,20,13311,22583,0.87199998,0.63800001,0.87,50.72999954
Slovenia,2006868,0.31781486,12559.148,99.213058,81.415001,1.3099999,12.2,19246,31010,0.92299998,0.625,0.92000002,53.29000092
Somalia,8445397,2.9927137,100,20,48.933998,6.1208,7.8000002,450,1000,0.89,0.887654,0.789964,20
South Africa,47391024,1.0576652,3573.3281,80,52.5,2.73,32.799999,5647,12637,0.67000002,0.78954,0.66299999,40.5
Spain,44116440,1.641571,16053.385,98.452499,84.099998,1.38,36,20174,38280,0.949,0.82499999,0.94499999,47.90999985
Sri Lanka,19886000,1.1023017,1074.111,99.817543,76.39,1.9098001,4.9000001,2186,5636,0.74199998,0.37099999,0.73500001,35.49000168
Sudan,37707484,2.1653869,488.87943,86.97673,59.622002,4.3463998,14.7,756,2999,0.52600002,0.65448,0.50199997,23
Sweden,9080505,0.62376803,31935.732,99.730461,82.940002,1.85,47.299999,30976,37067,0.958,0.92500001,0.958,59.24000168
Switzerland,7483934,0.62776017,36711.359,99.163834,84.040001,1.4299999,25,26278,40000,0.95499998,0.829,0.94599998,59.75999832
Syrian Arab Republic,19407558,2.6824465,1286.5282,95.544006,75.837997,3.1605999,12,2143,6261,0.736,0.41499999,0.72299999,14.96000004
Tajikistan,6639837,1.3589847,216.82536,95.433044,69.204002,3.4402001,17.5,1182,2041,0.68400002,0.332146,0.68000001,20
Tanzania,39458708,2.5171435,338.84515,97.415657,53.001999,5.2575998,30.4,947,1307,0.50300002,0.60000002,0.5,87.15000153
Thailand,63443952,0.69759071,2605.4216,99.03047,74.774002,1.845,36.987,5860,9443,0.78600001,0.50599998,0.78500003,65.11000061
Timor-Leste,1029194.8,5.3451519,287.60349,80,68.48,6.6110001,25.299999,428,902,0.48300001,0.679843,0.67854,30
Togo,6410428,2.7174728,239.715,85.799805,60.004002,4.9141998,8.6000004,478,1112,0.479,0.98874,0.46000001,81.06999969
Trinidad and Tobago,1328432,0.35518336,10136.681,80,71.620003,1.63,19.4,13840,29699,0.833,0.77999997,0.82700002,53.13999939
Tunisia,10128100,0.98328429,2518.0173,97.270187,76,2.03,22.799999,3177,10663,0.76200002,0.998764,0.74699998,24.38999939
Turkmenistan,4899456,1.3601749,800,70,67.372002,2.5502,16,3461,5420,0.72799999,0.43324,0.908861,45
Türkiye,72971472,1.2500108,4890.3394,95.44725,74,2.1800001,4.4000001,4959,17988,0.79799998,0.37099999,0.77999997,40
Uganda,29898598,3.2338765,310.33182,99.78887,51.431999,6.6849999,29.799999,735,1042,0.493,0.58999997,0.48899999,20
Ukraine,46787752,-0.67609203,1037.3123,99.721428,74.059998,1.2,8.6999998,4648,8045,0.78600001,0.45300001,0.78299999,56.77000046
United Arab Emirates,4248476,3.4527318,25192.332,99.251602,81.258003,2.3469999,0,10177,40000,0.903,0.69800001,0.87599999,30
United Kingdom,60604900,0.62637579,27820.596,99.70762,81.345001,1.84,19.700001,26863,38596,0.94199997,0.78600001,0.94099998,55.90000153
United States,298800000,0.96157986,37707.152,99.01113,80.699997,2.0999999,15.2,25613,40000,0.94999999,0.76899999,0.93699998,59.36000061
Uruguay,3314466,0.26413158,6987.394,97.263321,79.519997,2.03,11.1,7456,13097,0.85900003,0.542,0.85600001,51.90999985
Uzbekistan,26485800,1.2095563,725.41272,97.88353,70.33,2.3900001,17.5,1646,2727,0.70099998,0.786631,0.69800001,38.11999893
Venezuela,27031000,1.6938175,5424.7793,97.683273,76.410004,2.6199999,18,7781,14397,0.82599998,0.57700002,0.81699997,39
Viet Nam,84136800,1.2323534,575.88391,90,75.38,2.1733999,27.299999,1962,2761,0.71799999,0.55500001,0.71700001,35
Yemen,21732248,2.9728961,551.37329,75,63.848,5.6051998,0.30000001,1038,3454,0.56699997,0.13600001,0.53500003,20
Zambia,11696160,1.8800805,371.16586,98.23465,41.860001,5.2704,14.6,897,1650,0.45300001,0.42500001,0.44400001,10
